2	491
5	1335
7	136
7	957
8	1032
9	222
10	331
11	317
12	1346
13	571
14	209
15	458
16	1071
17	1400
18	432
19	1377
20	500
22	1244
23	1032
25	2
26	559
27	363
27	404
27	1246
28	976
28	1271
29	1022
30	454
31	1343
32	1176
33	222
34	105
35	1213
37	19
38	74
41	876
42	562
43	1071
44	311
45	395
47	1085
49	1180
50	775
51	74
53	106
54	1084
56	445
57	624
59	1071
60	613
62	1270
63	381
64	942
64	1318
65	698
67	119
68	76
68	805
70	1483
71	212
72	946
73	235
75	1460
76	1002
77	485
78	1002
80	1460
81	991
82	385
83	950
84	1308
86	1216
88	74
93	1085
94	275
96	764
97	74
98	961
99	416
103	175
104	855
105	562
107	483
111	392
111	797
112	496
113	1238
116	1438
118	1270
120	1071
121	1102
122	1035
124	1153
125	791
127	1370
128	388
130	1269
